FORM:CrosstabEditorPanel void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:CrosstabEditorPanel void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:CrosstabReportElement Point trasform(Point delta, int type): trasform (V)  | [ point (N)  - delta (N) ]
FORM:DTListener void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:DTListener void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:DateObject void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:ExtendedTabbedPane Component add(Component c): add (V)  | [ component (N)  - c (N) ]
FORM:ExtendedTabbedPane void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:FilteredStream void write(byte b): write (V)  | [ byte (N)  - b (N) ]
FORM:FilteredStream void write(byte b, int off, int len): write (V)  | [ byte (N)  - b (N) ]
FORM:GenericDragTargetListener void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:GenericWizard void finish(int currentStep): finish (V)  | [ int (N)  - current (NM) step (N) ]
FORM:Highlight void init(JEditTextArea textArea, Highlight next): init (V)  | [ J (NM) edit (NM) text (NM) area (N)  - text (NM) area (N) ]
FORM:IReportConnection void save(PrintWriter pw): save (V)  | [ print (NM) writer (N)  - pw (N) ]
FORM:IReportCustomizer void customize(JFreeChart jFreeChart, JRChart jRChart): customize (V)  | [ J (NM) free (NM) chart (N)  - j (NM) free (NM) chart (N) ]
FORM:IReportHashMapBean Object clone(IReportHashMapBean newBean): clone (V)  | [ I (NM) report (NM) hash (NM) map (NM) bean (N)  - new (NM) bean (N) ]
FORM:IReportKeywordLookup byte lookup(Segment text, int offset, int length): lookup (V)  | [ segment (N)  - text (N) ]
FORM:JBGTree void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:JBookPanel void calculate(Point p): calculate (V)  | [ point (N)  - p (N) ]
FORM:JEditTextArea void select(int start, int end): select (V)  | [ int (N)  - start (N) ]
FORM:JMDIMenuBar void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:JPanelStyleSample void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:JRDataSourceProviderConnection void save(PrintWriter pw): save (V)  | [ print (NM) writer (N)  - pw (N) ]
FORM:JRTextExpressionArea void paint(Graphics graphics): paint (V)  | [ graphics (N)  - graphics (N) ]
FORM:JRXMLDataSource void build(Document doc): build (V)  | [ document (N)  - doc (N) ]
FORM:JReportFrame Point straighten(int delta_w, int delta_h): straighten (V)  | [ int (N)  - delta (NM) w (N) ]
FORM:JReportFrame void pasteHere(Point p): paste (V) here (VM)  | [ point (N)  - p (N) ]
FORM:JReportPanel void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:JRulePanel void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:JSQLTablesPane void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:KeywordLookupIF byte lookup(Segment text, int offset, int length): lookup (V)  | [ segment (N)  - text (N) ]
FORM:KeywordMap byte lookup(Segment text, int offset, int length): lookup (V)  | [ segment (N)  - text (N) ]
FORM:KeywordMap void add(String keyword, byte id): add (V)  | [ string (N)  - keyword (N) ]
FORM:ListColumnTransferableHandler void cleanup(JComponent c, boolean remove): cleanup (V)  | [ J (NM) component (N)  - c (N) ]
FORM:LogTextArea static String tail(String str, int lines): tail (V)  | [ string (N)  - str (N) ]
FORM:MainFrame IReportCompiler compile(JList jListThreads): compile (V)  | [ J (NM) list (N)  - j (NM) list (NM) threads (N) ]
FORM:MainFrame void paint(Graphics g): paint (V)  | [ graphics (N)  - g (N) ]
FORM:MainFrame void save(JReportFrame jrf): save (V)  | [ J (NM) report (NM) frame (N)  - jrf (N) ]
FORM:MainFrame void traverse(Node node): traverse (V)  | [ node (N)  - node (N) ]
FORM:MessageBox static int show(JComponent parent, String msg): show (V)  | [ J (NM) component (N)  - parent (N) ]
FORM:MessageBox static int show(JComponent parent, String msg, String title, int flags): show (V)  | [ J (NM) component (N)  - parent (N) ]
FORM:MessageBox static int show(String msg): show (V)  | [ string (N)  - msg (N) ]
FORM:MessageBox static int show(String msg, String title, int flags): show (V)  | [ string (N)  - msg (N) ]
FORM:Misc static String nvl(Object obj, String def): nvl (V)  | [ object (N)  - obj (N) ]
FORM:Misc static void optime(String opName): optime (V)  | [ string (N)  - op (NM) name (N) ]
FORM:NumberDocument void remove(int offs, int len): remove (V)  | [ int (N)  - offs (N) ]
FORM:NumberDocument void replace(int offset, int length, String str, AttributeSet attrs): replace (V)  | [ int (N)  - offset (N) ]
FORM:PageNumberObject void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:PageXYObject void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:PercentageObject void drop(DropTargetDropEvent dtde): drop (V)  | [ drop (NM) target (NM) drop (NM) event (N)  - dtde (N) ]
FORM:PersonBeansDataSource JRDataSource create(JasperReport report): create (V)  | [ jasper (NM) report (N)  - report (N) ]
FORM:PersonBeansDataSource void dispose(JRDataSource dataSource): dispose (V)  | [ JR (NM) data (NM) source (N)  - data (NM) source (N) ]
FORM:ProblemItem void setWhere(String where): set (V) where (VM)  | [ string (N)  - where (N) ]
FORM:ReportElement Point trasform(Point delta, int type): trasform (V)  | [ point (N)  - delta (N) ]
